record_id,county_id,county_name,region,breed_id,breed_name,breed_type,altitude_m,avg_temp_c,min_temp_c,max_temp_c,avg_humidity_pct,annual_rainfall_mm,avg_thi,min_thi,max_thi,thi_category,disease_index,vegetation_zone,soil_fertility,milk_yield_actual,milk_yield_potential,yield_ratio,heat_tolerance_score,disease_resistance_score,feed_efficiency_score,overall_suitability,suitability_class,confidence,validation_source
10000,1,Kiambu,Central,B001,Friesian,Pure Exotic,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,29.3,30.0,0.977,3,3.9,8,94.0,Excellent,9.1,Expert
10001,1,Kiambu,Central,B001,Friesian,Pure Exotic,1850,17.218667368948434,12.4,24.8,72,1240,59.0,58.2,71.4,Comfortable,3.2,Highland Forest,High,27.8,30.0,0.927,3,3.9,8,91.9,Good,7.6,Seasonal
10002,1,Kiambu,Central,B001,Friesian,Pure Exotic,1850,21.309174599663624,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,30.9,30.0,1.031,3,3.9,8,96.2,Good,8.6,Seasonal
10003,1,Kiambu,Central,B001,Friesian,Pure Exotic,1850,16.438566687143823,12.4,24.8,72,1240,58.2,58.2,71.4,Comfortable,3.2,Highland Forest,High,27.2,30.0,0.907,3,3.9,8,99.7,Good,8.7,Seasonal
10004,1,Kiambu,Central,B002,Ayrshire,Pure Exotic,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,22.3,24.0,0.931,5,4.8,7,93.2,Excellent,8.3,Expert
10005,1,Kiambu,Central,B002,Ayrshire,Pure Exotic,1850,19.34259704620169,12.4,24.8,72,1240,66.3,58.2,71.4,Comfortable,3.2,Highland Forest,High,22.4,24.0,0.934,5,4.8,7,95.3,Good,7.9,Seasonal
10006,1,Kiambu,Central,B002,Ayrshire,Pure Exotic,1850,19.844272673600905,12.4,24.8,72,1240,68.0,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,22.7,24.0,0.947,5,4.8,7,92.5,Good,7.9,Seasonal
10007,1,Kiambu,Central,B002,Ayrshire,Pure Exotic,1850,18.430244217371662,12.4,24.8,72,1240,63.2,58.2,71.4,Comfortable,3.2,Highland Forest,High,21.9,24.0,0.912,5,4.8,7,95.6,Good,8.7,Seasonal
10008,1,Kiambu,Central,B003,Jersey,Pure Exotic,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,19.0,20.0,0.951,6,5.8,9,93.9,Excellent,8.9,Expert
10009,1,Kiambu,Central,B003,Jersey,Pure Exotic,1850,19.819458346952285,12.4,24.8,72,1240,67.9,58.2,71.4,Comfortable,3.2,Highland Forest,High,19.3,20.0,0.966,6,5.8,9,93.6,Good,7.6,Seasonal
10010,1,Kiambu,Central,B003,Jersey,Pure Exotic,1850,21.785580694579195,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,20.3,20.0,1.015,6,5.8,9,100.0,Good,8.7,Seasonal
10011,1,Kiambu,Central,B003,Jersey,Pure Exotic,1850,18.074575310438615,12.4,24.8,72,1240,61.9,58.2,71.4,Comfortable,3.2,Highland Forest,High,18.5,20.0,0.923,6,5.8,9,92.9,Good,8.5,Seasonal
10012,1,Kiambu,Central,B004,Sahiwal,Pure Indigenous,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,13.0,14.0,0.927,9,8.7,7,98.6,Excellent,8.7,Expert
10013,1,Kiambu,Central,B004,Sahiwal,Pure Indigenous,1850,21.557685515973784,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,13.8,14.0,0.984,9,8.7,7,96.8,Good,8.5,Seasonal
10014,1,Kiambu,Central,B004,Sahiwal,Pure Indigenous,1850,18.115455798275004,12.4,24.8,72,1240,62.1,58.2,71.4,Comfortable,3.2,Highland Forest,High,12.6,14.0,0.901,9,8.7,7,91.6,Good,8.3,Seasonal
10015,1,Kiambu,Central,B004,Sahiwal,Pure Indigenous,1850,17.384761663827035,12.4,24.8,72,1240,59.6,58.2,71.4,Comfortable,3.2,Highland Forest,High,12.4,14.0,0.883,9,8.7,7,88.7,Good,8.7,Seasonal
10016,1,Kiambu,Central,B005,Boran,Pure Indigenous,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,9.7,10.0,0.974,9,8.7,6,95.8,Excellent,8.9,Both
10017,1,Kiambu,Central,B005,Boran,Pure Indigenous,1850,16.829716811819054,12.4,24.8,72,1240,58.2,58.2,71.4,Comfortable,3.2,Highland Forest,High,9.1,10.0,0.914,9,8.7,6,69.3,Fair,7.6,Seasonal
10018,1,Kiambu,Central,B005,Boran,Pure Indigenous,1850,18.1939027051964,12.4,24.8,72,1240,62.4,58.2,71.4,Comfortable,3.2,Highland Forest,High,9.5,10.0,0.948,9,8.7,6,81.6,Good,7.9,Seasonal
10019,1,Kiambu,Central,B005,Boran,Pure Indigenous,1850,21.09352805271511,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,10.2,10.0,1.022,9,8.7,6,96.2,Good,7.9,Seasonal
10020,1,Kiambu,Central,B006,Friesian × Sahiwal,Crossbreed,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,20.2,22.0,0.918,7,6.8,8,98.0,Excellent,9.2,Expert
10021,1,Kiambu,Central,B006,Friesian × Sahiwal,Crossbreed,1850,22.004468754818976,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,21.7,22.0,0.986,7,6.8,8,100.0,Good,7.8,Seasonal
10022,1,Kiambu,Central,B006,Friesian × Sahiwal,Crossbreed,1850,16.351807394631948,12.4,24.8,72,1240,58.2,58.2,71.4,Comfortable,3.2,Highland Forest,High,18.7,22.0,0.85,7,6.8,8,90.2,Good,8.6,Seasonal
10023,1,Kiambu,Central,B006,Friesian × Sahiwal,Crossbreed,1850,20.519081287916087,12.4,24.8,72,1240,70.3,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,20.9,22.0,0.95,7,6.8,8,100.0,Good,7.6,Seasonal
10024,1,Kiambu,Central,B007,Ayrshire × Sahiwal,Crossbreed,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,18.3,20.0,0.917,7,6.8,7,96.2,Excellent,9.3,Literature
10025,1,Kiambu,Central,B007,Ayrshire × Sahiwal,Crossbreed,1850,18.225972623151257,12.4,24.8,72,1240,62.5,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.9,20.0,0.894,7,6.8,7,92.0,Good,8.0,Seasonal
10026,1,Kiambu,Central,B007,Ayrshire × Sahiwal,Crossbreed,1850,18.193055934874064,12.4,24.8,72,1240,62.3,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.9,20.0,0.893,7,6.8,7,98.1,Good,8.5,Seasonal
10027,1,Kiambu,Central,B007,Ayrshire × Sahiwal,Crossbreed,1850,21.430345397239638,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,19.4,20.0,0.97,7,6.8,7,97.3,Good,7.7,Seasonal
10028,1,Kiambu,Central,B008,Jersey × Sahiwal,Crossbreed,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.2,18.0,0.956,8,7.7,8,100.0,Excellent,8.8,Literature
10029,1,Kiambu,Central,B008,Jersey × Sahiwal,Crossbreed,1850,19.16426263505889,12.4,24.8,72,1240,65.7,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.2,18.0,0.955,8,7.7,8,98.6,Good,8.1,Seasonal
10030,1,Kiambu,Central,B008,Jersey × Sahiwal,Crossbreed,1850,16.466414170045987,12.4,24.8,72,1240,58.2,58.2,71.4,Comfortable,3.2,Highland Forest,High,16.0,18.0,0.888,8,7.7,8,79.7,Good,7.5,Seasonal
10031,1,Kiambu,Central,B008,Jersey × Sahiwal,Crossbreed,1850,19.985723968879373,12.4,24.8,72,1240,68.5,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,17.6,18.0,0.975,8,7.7,8,96.6,Good,8.3,Seasonal
10032,1,Kiambu,Central,B009,Friesian × Boran,Crossbreed,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,18.5,20.0,0.925,7,6.8,7,100.0,Excellent,8.6,Literature
10033,1,Kiambu,Central,B009,Friesian × Boran,Crossbreed,1850,17.637877433231743,12.4,24.8,72,1240,60.4,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.7,20.0,0.887,7,6.8,7,89.5,Good,7.9,Seasonal
10034,1,Kiambu,Central,B009,Friesian × Boran,Crossbreed,1850,17.248634614583064,12.4,24.8,72,1240,59.1,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.6,20.0,0.878,7,6.8,7,93.8,Good,8.7,Seasonal
10035,1,Kiambu,Central,B009,Friesian × Boran,Crossbreed,1850,19.968405637500037,12.4,24.8,72,1240,68.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,18.9,20.0,0.943,7,6.8,7,100.0,Good,8.7,Seasonal
10036,1,Kiambu,Central,B010,Ayrshire × Boran,Crossbreed,1850,19.2,12.4,24.8,72,1240,65.8,58.2,71.4,Comfortable,3.2,Highland Forest,High,17.3,18.0,0.964,7,7.7,7,95.3,Excellent,8.8,Literature
10037,1,Kiambu,Central,B010,Ayrshire × Boran,Crossbreed,1850,21.48148588755932,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,18.4,18.0,1.021,7,7.7,7,96.6,Good,7.7,Seasonal
10038,1,Kiambu,Central,B010,Ayrshire × Boran,Crossbreed,1850,17.63290653624158,12.4,24.8,72,1240,60.4,58.2,71.4,Comfortable,3.2,Highland Forest,High,16.6,18.0,0.924,7,7.7,7,90.9,Good,8.7,Seasonal
10039,1,Kiambu,Central,B010,Ayrshire × Boran,Crossbreed,1850,21.27780815955654,12.4,24.8,72,1240,71.4,58.2,71.4,Moderate Stress,3.2,Highland Forest,High,18.3,18.0,1.016,7,7.7,7,93.5,Good,8.3,Seasonal
10040,2,Nyandarua,Central,B001,Friesian,Pure Exotic,2450,16.4,8.7,22.1,68,1180,62.1,53.5,68.7,Comfortable,2.8,Moorland/Highland,Medium,28.0,30.0,0.933,3,3.9,8,95.0,Excellent,8.2,Expert
10041,2,Nyandarua,Central,B001,Friesian,Pure Exotic,2450,18.57911574324959,8.7,22.1,68,1180,68.7,53.5,68.7,Moderate Stress,2.8,Moorland/Highland,Medium,29.9,30.0,0.995,3,3.9,8,94.1,Good,8.3,Seasonal
